"age","education","jobclass","wage"
18,"1. < HS Grad","1. Industrial",75.0431540173515
24,"4. College Grad","2. Information",70.4760196469445
45,"3. Some College","1. Industrial",130.982177377461
43,"4. College Grad","2. Information",154.68529299563
50,"2. HS Grad","2. Information",75.0431540173515
54,"4. College Grad","2. Information",127.115743812184
44,"3. Some College","1. Industrial",169.52853803668
30,"3. Some College","2. Information",111.720849360989
41,"3. Some College","2. Information",118.884359339886
52,"2. HS Grad","2. Information",128.680488220624
45,"3. Some College","2. Information",117.146816914805
34,"2. HS Grad","1. Industrial",81.2832532842527
35,"2. HS Grad","2. Information",89.4924795180001
39,"4. College Grad","1. Industrial",134.705375118879
54,"2. HS Grad","2. Information",134.705375118879
51,"3. Some College","1. Industrial",90.4819133566401
37,"4. College Grad","1. Industrial",82.6796372966372
50,"5. Advanced Degree","2. Information",212.842352315711
56,"4. College Grad","1. Industrial",129.156693004704
37,"3. Some College","1. Industrial",98.5993438603892
38,"4. College Grad","2. Information",200.543262324662
40,"2. HS Grad","2. Information",50.406660861266
75,"4. College Grad","1. Industrial",85.3839403789827
40,"4. College Grad","2. Information",160.642475408263
38,"2. HS Grad","1. Industrial",94.0727147457005
49,"5. Advanced Degree","2. Information",277.601417511009
43,"2. HS Grad","1. Industrial",84.0459576539924
34,"2. HS Grad","1. Industrial",65.1108537153447
57,"2. HS Grad","1. Industrial",116.265324062503
18,"2. HS Grad","1. Industrial",70.4760196469445
55,"5. Advanced Degree","2. Information",195.676307990453
51,"3. Some College","2. Information",101.402052302992
33,"5. Advanced Degree","1. Industrial",81.2832532842527
34,"2. HS Grad","1. Industrial",111.720849360989
36,"4. College Grad","2. Information",89.8800467811106
56,"5. Advanced Degree","2. Information",87.9810327856054
70,"4. College Grad","1. Industrial",87.9810327856054
25,"4. College Grad","1. Industrial",103.90247060316
32,"3. Some College","1. Industrial",105.927810775063
27,"1. < HS Grad","1. Industrial",66.2294082943902
28,"4. College Grad","1. Industrial",34.6074177301288
27,"4. College Grad","2. Information",109.833985642199
43,"1. < HS Grad","1. Industrial",45.282169994022
50,"1. < HS Grad","1. Industrial",73.7757432746946
39,"2. HS Grad","2. Information",81.2832532842527
52,"5. Advanced Degree","1. Industrial",154.68529299563
35,"4. College Grad","1. Industrial",267.901086855275
