"age","education","jobclass","wage"
47.5809007676502,"4. College Grad","1. Industrial",28.013769570928
34.5152060338096,"3. Some College","2. Information",193.618524743111
21.7881032261931,"1. < HS Grad","1. Industrial",116.361933129208
59.0307946098929,"2. HS Grad","1. Industrial",71.9788819848639
27.2657035381058,"3. Some College","2. Information",171.469541562735
30.451835171812,"2. HS Grad","2. Information",74.334124187872
61.4102990613508,"4. College Grad","2. Information",191.307242325536
36.6599459901912,"4. College Grad","2. Information",104.500973664111
40.2257476235101,"3. Some College","2. Information",82.5168522512952
43.6495871732489,"3. Some College","2. Information",159.242143307229
52.6708766372121,"4. College Grad","2. Information",204.99351096668
30.7012450483984,"2. HS Grad","1. Industrial",85.1434533081437
22.9707176447594,"4. College Grad","2. Information",150.603651485159
61.3425856583402,"4. College Grad","2. Information",225.601181403798
32.2356642346496,"2. HS Grad","1. Industrial",131.918394770944
25.2371346023524,"2. HS Grad","2. Information",95.960880568288
31.219205959414,"1. < HS Grad","1. Industrial",125.14649214787
53.4927704243267,"3. Some College","1. Industrial",122.354479883023
34.3039482304757,"2. HS Grad","2. Information",31.9079801912776
30.7725223303404,"3. Some College","2. Information",122.662463900051
37.0592288986687,"5. Advanced Degree","2. Information",102.853369353336
47.688723984679,"2. HS Grad","1. Industrial",78.200036798393
39.8543164427653,"4. College Grad","2. Information",198.372447851174
56.2107226500336,"2. HS Grad","2. Information",67.2138688122092
39.0163188053449,"4. College Grad","1. Industrial",179.310133403827
45.6158522153598,"2. HS Grad","1. Industrial",57.789553151189
37.2259508002983,"2. HS Grad","1. Industrial",144.958761517231
30.1154960860867,"3. Some College","1. Industrial",101.674468470039
44.5870912062242,"2. HS Grad","2. Information",118.868341084461
29.4735206794688,"2. HS Grad","1. Industrial",71.7569177202842
42.6671922905676,"2. HS Grad","2. Information",120.181443987573
40.630854748672,"2. HS Grad","2. Information",123.742944050395
45.8713622793894,"2. HS Grad","1. Industrial",160.798345125854
25.8299943220284,"3. Some College","2. Information",121.366563073763
41.2345436893811,"4. College Grad","1. Industrial",160.064347302009
38.0436716557714,"4. College Grad","1. Industrial",87.4403415176654
43.8579110415648,"2. HS Grad","1. Industrial",115.906676647028
48.0434628297686,"4. College Grad","1. Industrial",142.530369483058
21.665978710124,"2. HS Grad","1. Industrial",145.587366244518
41.3567761092103,"4. College Grad","2. Information",100.368193686114
37.3138092876606,"2. HS Grad","2. Information",40.1421802918665
49.4307625533205,"1. < HS Grad","1. Industrial",73.2435037418649
44.297593089321,"4. College Grad","2. Information",87.3649365103203
40.5491448337936,"5. Advanced Degree","1. Industrial",192.473317028942
55.6939999299273,"2. HS Grad","2. Information",88.6614833944801
42.6050102141953,"5. Advanced Degree","2. Information",201.076414653087
28.7808528984294,"2. HS Grad","2. Information",145.547133690589
54.5826660970763,"5. Advanced Degree","1. Industrial",215.8748331949
36.3937036905358,"4. College Grad","2. Information",164.370009474294
59.0709835738966,"5. Advanced Degree","2. Information",191.268546282845
27.7177323708743,"4. College Grad","2. Information",174.965524106752
55.6580798560419,"2. HS Grad","1. Industrial",44.3595324939367
37.6588078850368,"3. Some College","1. Industrial",102.868400086288
40.1691828735196,"3. Some College","1. Industrial",184.138408710783
48.3266000758971,"2. HS Grad","2. Information",126.172736246125
31.1252170263756,"4. College Grad","1. Industrial",194.865202251787
40.3277308862485,"5. Advanced Degree","1. Industrial",103.644730868433
52.7431446296979,"3. Some College","1. Industrial",68.5042306552016
31.5507410060383,"3. Some College","2. Information",190.05830848354
44.3421043486235,"2. HS Grad","1. Industrial",65.1317773949899
29.085045645436,"2. HS Grad","2. Information",143.174051486659
31.237155433059,"4. College Grad","2. Information",177.534598372462
39.7254285979589,"4. College Grad","2. Information",78.8611346595257
32.1201849258574,"5. Advanced Degree","2. Information",88.4690628118901
39.1085264699386,"5. Advanced Degree","2. Information",152.61146669515
58.6229784893356,"4. College Grad","1. Industrial",139.146498036563
33.596019915516,"2. HS Grad","1. Industrial",144.280821563364
34.0257228988126,"5. Advanced Degree","2. Information",70.5801087601942
53.8128846778363,"3. Some College","2. Information",137.909907031575
23.9702781218225,"3. Some College","2. Information",170.943150630215
43.3319711719128,"2. HS Grad","1. Industrial",104.256059926148
28.6918364621966,"4. College Grad","2. Information",49.6718717522916
22.1700034138573,"4. College Grad","1. Industrial",108.802685315032
56.7248027850351,"5. Advanced Degree","2. Information",130.627777718093
27.3352280965686,"5. Advanced Degree","2. Information",180.43825056916
25.4758244582795,"1. < HS Grad","1. Industrial",96.600403288812
35.4936914388158,"3. Some College","2. Information",127.326201362688
40.00162757544,"3. Some College","2. Information",125.911389104252
48.1938906739888,"2. HS Grad","1. Industrial",177.604853234393
33.2068140087362,"1. < HS Grad","1. Industrial",90.813043571237
26.1403606968667,"4. College Grad","1. Industrial",90.8484914547374
30.7113089751097,"1. < HS Grad","2. Information",177.099923284473
30.3584795187341,"2. HS Grad","1. Industrial",150.037168736665
46.8905537247014,"2. HS Grad","1. Industrial",45.519267638185
49.6240493321578,"3. Some College","2. Information",104.242951768115
55.2320642167291,"3. Some College","1. Industrial",197.814127021739
39.8128663943692,"4. College Grad","1. Industrial",118.728923681283
46.6225121764942,"4. College Grad","2. Information",198.452320284858
29.9222214663363,"3. Some College","2. Information",175.50530746599
36.946471422451,"1. < HS Grad","2. Information",163.787205665476
50.40955268323,"2. HS Grad","1. Industrial",196.617343413434
43.822901457049,"4. College Grad","1. Industrial",81.5082731440634
66.2931081352131,"5. Advanced Degree","2. Information",122.651289532142
41.8876265533858,"3. Some College","2. Information",154.84376288529
34.0590186410412,"4. College Grad","2. Information",97.303034034162
46.4754272509773,"4. College Grad","2. Information",85.6531621194
36.2607651158963,"4. College Grad","1. Industrial",42.949708818566
53.3824491614346,"2. HS Grad","1. Industrial",197.852839142644
25.8003813865421,"2. HS Grad","2. Information",106.965944301726
37.381661353414,"2. HS Grad","1. Industrial",81.2271002764082
28.8768353858221,"5. Advanced Degree","2. Information",98.0566758612595
59.1880682756944,"2. HS Grad","2. Information",87.0912938846115
37.7939080449192,"3. Some College","1. Industrial",68.9678629710597
48.1960841911456,"1. < HS Grad","1. Industrial",127.340737814635
44.078690766529,"2. HS Grad","2. Information",84.1175018519254
56.7554097720157,"2. HS Grad","2. Information",161.851738863613
21.8828521081074,"3. Some College","2. Information",160.058796644878
49.0909218709923,"5. Advanced Degree","2. Information",89.3151980982237
53.0043637289836,"3. Some College","1. Industrial",36.5889990034376
45.2239646620648,"2. HS Grad","1. Industrial",187.24657418119
31.5632243210125,"2. HS Grad","2. Information",38.6714397615354
57.4949318828053,"2. HS Grad","1. Industrial",150.266016753352
